Product Id,Product Name (Relevant company name),Categories,Subcategories,Tags,Keywords,Price in rupees,Ratings,Eco Friendly
1011,Kleenex Toilet Paper (Kimberly-Clark),Tissue Paper,Toilet Paper,"Soft, Strong, Absorbent","Kleenex, Toilet Paper",399,4.8,1
1012,Scott Toilet Paper (Kimberly-Clark),Tissue Paper,Toilet Paper,"Soft, Strong, Absorbent","Scott, Toilet Paper",299,4.7,1
1013,Angel Soft Toilet Paper (Angel Soft),Tissue Paper,Toilet Paper,"Soft, Strong, Absorbent","Angel Soft, Toilet Paper",249,4.6,1
1014,Cottonelle Toilet Paper (Kimberly-Clark),Tissue Paper,Toilet Paper,"Soft, Strong, Absorbent","Cottonelle, Toilet Paper",399,4.5,1
1015,Kirkland Signature Signature Toilet Paper (Costco),Tissue Paper,Toilet Paper,"Soft, Strong, Absorbent","Kirkland Signature, Toilet Paper",499,4.9,1
1016,Seventh Generation Toilet Paper (Seventh Generation),Tissue Paper,Toilet Paper,"Recycled, Sustainable, Eco-Friendly","Seventh Generation, Toilet Paper, Recycled Tissues",549,4.8,2
1017,Who Gives A Crap Toilet Paper (Who Gives A Crap),Tissue Paper,Toilet Paper,"Recycled, Sustainable, Eco-Friendly, Bamboo","Who Gives A Crap, Toilet Paper, Recycled Tissues, Bamboo Tissues",549,4.9,2
1018,Bambu Toilet Paper (Bambu),Tissue Paper,Toilet Paper,"Sustainable, Eco-Friendly, Bamboo","Bambu, Toilet Paper, Bamboo Tissues",549,4.8,2
1019,Green Forest Toilet Paper (Green Forest),Tissue Paper,Toilet Paper,"Recycled, Sustainable, Eco-Friendly","Green Forest, Toilet Paper, Recycled Tissues",549,4.7,2
1020,Better Life Toilet Paper (Better Life),Tissue Paper,Toilet Paper,"Sustainable, Eco-Friendly, Chemical-Free","Better Life, Toilet Paper, Chemical-Free Tissues",549,4.9,2
1021,Plastic toothbrush (Colgate),Bathroom,Oral care,toothbrush,"plastic toothbrush, toothbrush for adults",500,4.5,1
1022,Bamboo toothbrush (RADIUS),Bathroom,Oral care,toothbrush,"bamboo toothbrush, toothbrush for adults",600,4.7,2
1023,Charcoal toothbrush (Burst),Bathroom,Oral care,toothbrush,"charcoal toothbrush, toothbrush for adults",700,4.8,2
1024,Electric toothbrush with plastic head (Oral-B),Bathroom,Oral care,electric toothbrush,"electric toothbrush with plastic head, toothbrush for adults",1000,4.9,1
1025,Electric toothbrush with bamboo head (Philips Sonicare),Bathroom,Oral care,electric toothbrush,"electric toothbrush with bamboo head, toothbrush for adults",1200,4.9,2
1026,Miswak stick ([Brand]),Bathroom,Oral care,toothbrush,"miswak stick, natural toothbrush",500,4.6,2
1027,Neem stick ([Brand]),Bathroom,Oral care,toothbrush,"neem stick, natural toothbrush",500,4.7,2
1028,Coconut husk brush ([Brand]),Bathroom,Oral care,toothbrush,"coconut husk brush, natural toothbrush",500,4.8,2
1029,Finger brush ([Brand]),Bathroom,Oral care,toothbrush,"finger brush, natural toothbrush",500,4.9,2
1030,Tongue scraper ([Brand]),Bathroom,Oral care,tongue scraper,"tongue scraper, oral hygiene tool",500,4.9,2
1031,Water flosser ([Brand]),Bathroom,Oral care,water flosser,"water flosser, oral hygiene tool",2000,4.8,2
1032,Ultrasonic toothbrush (Usmile),Bathroom,Oral care,toothbrush,"ultrasonic toothbrush, electric toothbrush",4000,4.9,1
1033,UV toothbrush sanitizer (SteriPEN),Bathroom,Oral care,toothbrush sanitizer,"UV toothbrush sanitizer, toothbrush sterilizer",2000,4.8,1
1034,Composable toothbrush head (Humble Brush),Bathroom,Oral care,toothbrush head,"compostable toothbrush head, biodegradable toothbrush head",500,4.7,2
1035,Recycled toothbrush (Preserve),Bathroom,Oral care,toothbrush,"recycled toothbrush, eco-friendly toothbrush",500,4.8,2
1036,Electric toothbrush with recycled head (Bissell),Bathroom,Oral care,electric toothbrush,"electric toothbrush with recycled head, eco-friendly electric toothbrush",1500,4.9,2
1037,Bamboo toothbrush with charcoal bristles (Burst),Bathroom,Oral care,toothbrush,"bamboo toothbrush with charcoal bristles, eco-friendly toothbrush",600,4.7,2
1038,Bamboo toothbrush with compostable bristles (Humble Brush),Bathroom,Oral care,toothbrush,"bamboo toothbrush with compostable bristles, eco-friendly toothbrush",700,4.8,2
1039,Electric toothbrush with bamboo head and compostable bristles (RADIUS),Bathroom,Oral care,electric toothbrush,"electric toothbrush with bamboo head and compostable bristles, eco-friendly electric toothbrush",2000,4.9,2
1040,Toothbrush holder made from recycled materials (Preserve),Bathroom,Oral care,toothbrush holder,"toothbrush holder made from recycled materials, eco-friendly toothbrush holder",1000,4.8,2
1041,[Twelve South Curve Laptop Stand (Bamboo)],Laptop Accessories,Laptop Stands,"Ergonomic, Portable, Adjustable, Bamboo","Laptop stand, ergonomic laptop stand, portable laptop stand, adjustable laptop stand, bamboo laptop stand",5999,4.8,2
1042,[Rain Design mStand Laptop Stand (Bamboo)],Laptop Accessories,Laptop Stands,"Ergonomic, Sleek, Durable, Bamboo","Laptop stand, ergonomic laptop stand, sleek laptop stand, durable laptop stand",5999,4.7,1
1043,[Satechi Bamboo Laptop Stand],Laptop Accessories,Laptop Stands,"Ergonomic, Minimalist, Stable, Bamboo","Laptop stand, ergonomic laptop stand, minimalist laptop stand, stable laptop stand",2999,4.6,1
1044,[BoYata Bamboo Laptop Stand for Desk],Laptop Accessories,Laptop Stands,"Adjustable, Foldable, Portable, Bamboo","Laptop stand, adjustable laptop stand, foldable laptop stand, portable laptop stand",2499,4.5,1
1045,[Amazon Basics Bamboo Laptop Stand],Laptop Accessories,Laptop Stands,"Ergonomic, Adjustable, Affordable, Bamboo","Laptop stand, ergonomic laptop stand, adjustable laptop stand, affordable laptop stand, bamboo laptop stand",1999,4.4,2
1046,[Ergonomic Laptop Stand by Humanscale (Bamboo)],Laptop Accessories,Laptop Stands,"Ergonomic, Adjustable, Height-Adjustable, Bamboo","Laptop stand, ergonomic laptop stand, adjustable laptop stand, height-adjustable laptop stand",6999,4.9,2
1047,[Laptop Stand with Cooling Fan by HAVIT (Bamboo)],Laptop Accessories,Laptop Stands,"Cooling, Adjustable, Ergonomic, Bamboo","Laptop stand, cooling laptop stand, adjustable laptop stand, ergonomic laptop stand",3499,4.8,1
1048,[Laptop Stand with Phone Holder by MoKo (Bamboo)],Laptop Accessories,Laptop Stands,"Multifunctional, Adjustable, Portable, Bamboo","Laptop stand, multifunctional laptop stand, adjustable laptop stand, portable laptop stand, bamboo laptop stand",2999,4.7,0
1049,[Roost Laptop Stand (Bamboo)],Laptop Accessories,Laptop Stands,"Sustainable, Adjustable, Portable, Bamboo","Laptop stand, sustainable laptop stand, adjustable laptop stand, portable laptop stand, bamboo laptop stand",6999,4.9,2
1050,[Nexstand Laptop Stand (Bamboo)],Laptop Accessories,Laptop Stands,"Foldable, Portable, Lightweight, Bamboo","Laptop stand, foldable laptop stand, portable laptop stand, lightweight laptop stand,plastic",2499,4.6,1
1051,[Grovemade Wooden Laptop Stand],Laptop Accessories,Laptop Stands,"Ergonomic, Sustainable, Minimalist","Laptop stand, ergonomic laptop stand, sustainable laptop stand, minimalist laptop stand",7999,4.8,1
1052,[Twelve South Curve Laptop Stand (Walnut)],Laptop Accessories,Laptop Stands,"Ergonomic, Portable, Adjustable, Walnut","Laptop stand, ergonomic laptop stand, portable laptop stand, adjustable laptop stand",7999,4.9,1
1053,[Rain Design mStand Laptop Stand (Walnut)],Laptop Accessories,Laptop Stands,"Ergonomic, Sleek, Durable, Walnut","Laptop stand, ergonomic laptop stand, sleek laptop stand, durable laptop stand, walnut laptop stand",7999,4.8,1
1054,[Satechi Aluminum Laptop Stand with Wooden Top],Laptop Accessories,Laptop Stands,"Ergonomic, Minimalist, Stable","Laptop stand, ergonomic laptop stand, minimalist laptop stand, stable laptop stand, wooden laptop stand",4999,4.7,1
1055,[BoYata Wooden Laptop Stand for Desk],Laptop Accessories,Laptop Stands,"Adjustable, Foldable, Portable","Laptop stand, adjustable laptop stand, foldable laptop stand, portable laptop stand, wooden laptop stand",3999,4.6,1
1056,[Amazon Basics Wooden Laptop Stand],Laptop Accessories,Laptop Stands,"Ergonomic, Adjustable, Affordable","Laptop stand, ergonomic laptop stand, adjustable laptop stand, affordable laptop stand, wooden laptop stand",3499,4.5,1
1057,[Ergonomic Laptop Stand by Humanscale (Wood)],Laptop Accessories,Laptop Stands,"Ergonomic, Adjustable, Height-Adjustable","Laptop stand, ergonomic laptop stand, adjustable laptop stand, height-adjustable laptop stand, wooden laptop stand",9999,4.9,1
1058,[Laptop Stand with Cooling Fan by HAVIT (Wood)],Laptop Accessories,Laptop Stands,"Cooling, Adjustable, Ergonomic","Laptop stand, cooling laptop stand, adjustable laptop stand, ergonomic laptop stand, wooden laptop stand",4999,4.8,2
1059,[Laptop Stand with Phone Holder by MoKo (Wood)],Laptop Accessories,Laptop Stands,"Multifunctional, Adjustable, Portable","Laptop stand, multifunctional laptop stand, adjustable laptop stand, portable laptop stand, wooden laptop stand",4499,4.7,2
1060,[Roost Laptop Stand (Wood)],Laptop Accessories,Laptop Stands,"Sustainable, Adjustable, Portable","Laptop stand, sustainable laptop stand, adjustable laptop stand, portable laptop stand, wooden laptop stand",9999,4.9,2
1061,Cotton towel (White Towel Company),Bathroom,Towels,"cotton towel, bath towel, hand towel, face towel","cotton, towel, bath, hand, face",100,4.5,1
1062,Bamboo towel (Cariloha),Bathroom,Towels,"bamboo towel, bath towel, hand towel, face towel","bamboo, towel, bath, hand, face",120,4.7,2
1063,Microfiber towel (Amazon Basics),Bathroom,Towels,"microfiber towel, bath towel, hand towel, face towel","microfiber, towel, bath, hand, face",150,4.8,2
1064,Linen towel (Parachute Home),Bathroom,Towels,"linen towel, bath towel, hand towel, face towel","linen, towel, bath, hand, face",200,4.9,2
1065,Turkish towel (Peshtemal),Bathroom,Towels,"turkish towel, peshtemal, bath towel, hand towel, face towel","turkish cotton, towel, bath, hand, face",250,4.9,2
1066,Recycled cotton towel (Retowels),Bathroom,Towels,"recycled cotton towel, bath towel, hand towel, face towel","recycled cotton, towel, bath, hand, face",300,4.9,2
1067,Organic cotton towel (Coyuchi),Bathroom,Towels,"organic cotton towel, bath towel, hand towel, face towel","organic cotton, towel, bath, hand, face",350,4.9,2
1068,Hemp towel (Tencel),Bathroom,Towels,"hemp towel, bath towel, hand towel, face towel","hemp, towel, bath, hand, face",400,4.9,2
1069,Bamboo hooded towel (KeaBabies),Bathroom,Towels,"bamboo hooded towel, bath towel, baby towel","bamboo, towel, bath, baby, hooded",450,4.9,2
1070,Microfiber hair towel (Aquis),Bathroom,Towels,"microfiber hair towel, hair towel, turban","microfiber, towel, hair, turban",500,4.9,2
1071,Linen table runner (Parachute Home),Kitchen,Towels,linen table runner,"linen, table runner",550,4.9,2
1072,Cotton dish towel (White Towel Company),Kitchen,Towels,"cotton dish towel, dish towel, kitchen towel","cotton, towel, dish, kitchen",600,4.5,1
1073,Bamboo dish towel (Cariloha),Kitchen,Towels,"bamboo dish towel, dish towel, kitchen towel","bamboo, towel, dish, kitchen",650,4.7,2
1074,Microfiber dish towel (Amazon Basics),Kitchen,Towels,"microfiber dish towel, dish towel, kitchen towel","microfiber, towel, dish, kitchen",700,4.8,2
1075,Linen kitchen towel (Parachute Home),Kitchen,Towels,"linen kitchen towel, kitchen towel","linen, towel, kitchen",750,4.9,2
1076,Recycled cotton dish towel (Retowels),Kitchen,Towels,"recycled cotton dish towel, dish towel, kitchen towel","recycled cotton, towel, dish, kitchen",800,4.9,2
1077,Organic cotton dish towel (Coyuchi),Kitchen,Towels,"organic cotton dish towel, dish towel, kitchen towel","organic cotton, towel, dish, kitchen",850,4.9,2
1078,Hemp kitchen towel (Tencel),Kitchen,Towels,"hemp kitchen towel, kitchen towel","hemp, towel, kitchen",900,4.9,2
1079,Bamboo bar towel (Cariloha),Kitchen,Towels,"bamboo bar towel, bar towel, cocktail towel","bamboo, towel, bar, cocktail",950,4.9,2
1080,Microfiber cleaning cloth (Amazon Basics),Household,Cleaning cloths,"microfiber cleaning cloth, cleaning cloth, all-purpose cloth","microfiber, cloth, cleaning, all-purpose",1000,4.8,2
1081,Dining chair (IKEA),Furniture,Chairs,"dining chair, kitchen chair, modern chair","chair, dining, kitchen, modern, IKEA",500,4.5,1
1082,Office chair (Herman Miller),Furniture,Chairs,"office chair, ergonomic chair, task chair","chair, office, ergonomic, task, Herman Miller",1000,4.7,1
1083,Gaming chair (Secretlab),Furniture,Chairs,"gaming chair, racing chair, computer chair","chair, gaming, racing, computer, Secretlab",1500,4.8,1
1084,Rocking chair (Glider),Furniture,Chairs,"rocking chair, glider, nursery chair","chair, rocking, glider, nursery",2000,4.9,1
1085,Bean bag chair (Lovesac),Furniture,Chairs,"bean bag chair, sac chair, floor chair","chair, bean bag, sac, floor, Lovesac",2500,4.9,1
1086,Hammock chair (ENO),Furniture,Chairs,"hammock chair, hanging chair, swing chair","chair, hammock, hanging, swing, ENO",3000,4.9,1
1087,Floor pillow (Urban Outfitters),Furniture,Chairs,"floor pillow, floor cushion, meditation pillow","pillow, floor, cushion, meditation, Urban Outfitters",3500,4.9,1
1088,Adirondack chair (Home Depot),Furniture,Chairs,"Adirondack chair, outdoor chair, lawn chair","chair, Adirondack, outdoor, lawn, Home Depot",4000,4.9,1
1089,Folding chair (Walmart),Furniture,Chairs,"folding chair, portable chair, camp chair","chair, folding, portable, camp, Walmart",4500,4.9,1
1090,Chaise lounge (Target),Furniture,Chairs,"chaise lounge, lounge chair, outdoor chair","chair, chaise lounge, lounge, outdoor, Target",5000,4.9,1
1091,Bench (IKEA),Furniture,Chairs,"bench, outdoor bench, indoor bench","chair, bench, outdoor, indoor, IKEA",5500,4.9,1
1092,Stool (West Elm),Furniture,Chairs,"stool, counter stool, bar stool","chair, stool, counter, bar, West Elm",6000,4.9,1
1093,Ottoman (Anthropologie),Furniture,Chairs,"ottoman, footstool, pouf","chair, ottoman, footstool, pouf, Anthropologie",6500,4.9,1
1094,Adirondack chair made from recycled plastic (Polywood),Furniture,Chairs,"Adirondack chair, outdoor chair, lawn chair, recycled plastic chair","chair, Adirondack, outdoor, lawn, recycled plastic, Polywood",7000,4.9,2
1095,Folding chair made from bamboo (SereneLife),Furniture,Chairs,"folding chair, portable chair, camp chair, bamboo chair","chair, folding, portable, camp, bamboo, SereneLife",7500,4.9,2
1096,Chaise lounge made from sustainable wood (Teak),Furniture,Chairs,"chaise lounge, lounge chair, outdoor chair, sustainable wood chair","chair, chaise lounge, lounge, outdoor, sustainable wood, Teak",8000,4.9,2
1097,Bench made from recycled materials (ReNew),Furniture,Chairs,"bench, outdoor bench, indoor bench, recycled materials chair","chair, bench, outdoor, indoor, recycled materials, ReNew",8500,4.9,2
1098,Stool made from sustainable bamboo (Bambu),Furniture,Chairs,"stool, counter stool, bar stool, bamboo chair","chair, stool, counter, bar, bamboo, Bambu",9000,4.9,2
1099,Ottoman made from organic cotton (Coyuchi),Furniture,Chairs,"ottoman, footstool, pouf, organic cotton chair","chair, ottoman, footstool, pouf, organic cotton, Coyuchi",9500,4.9,2
1100,Rocking chair made from reclaimed wood (Rustic),Furniture,Chairs,"rocking chair, glider, nursery chair, reclaimed wood chair","chair, rocking, glider, nursery, reclaimed wood, Rustic",10000,4.9,2
1101,Casper Original Mattress,Mattresses,Memory Foam,"Soft, Medium, Firm","Casper, Memory Foam Mattress, Original Mattress",1099,4.7,1
1102,Purple Mattress,Mattresses,Memory Foam,"Medium, Firm","Purple, Memory Foam Mattress",1299,4.8,1
1103,Nectar Mattress,Mattresses,Memory Foam,"Medium, Firm","Nectar, Memory Foam Mattress",999,4.6,1
1104,Saatva Mattress,Mattresses,Hybrid,"Medium, Firm","Saatva, Hybrid Mattress",1399,4.9,1
1105,Tuft & Needle Mattress,Mattresses,Memory Foam,Medium,"Tuft & Needle, Memory Foam Mattress",799,4.5,1
1106,Avocado Green Mattress,Mattresses,Natural Latex,"Medium, Firm","Avocado, Natural Latex Mattress, Green Mattress",1599,4.9,2
1107,Birch Mattress,Mattresses,Natural Latex,"Medium, Firm","Birch, Natural Latex Mattress",1399,4.8,2
1108,WinkBed Mattress,Mattresses,Hybrid,"Medium, Firm","WinkBed, Hybrid Mattress",1799,4.9,1
1109,Helix Mattress,Mattresses,Hybrid,"Medium, Firm","Helix, Hybrid Mattress",1199,4.7,1
1110,Layla Mattress,Mattresses,Memory Foam,"Medium, Firm","Layla, Memory Foam Mattress",1499,4.8,1
1111,Naturepedic Organic Mattress,Mattresses,Natural Latex,"Medium, Firm","Naturepedic, Organic Mattress, Natural Latex Mattress",1699,4.9,2
1112,The Futon Shop Natural Cotton Futon,Mattresses,Organic Cotton,"Medium, Firm","The Futon Shop, Natural Cotton Futon, Organic Cotton Mattress",699,4.7,2
1113,My Green Mattress,Mattresses,Natural Latex,"Medium, Firm","My Green Mattress, Natural Latex Mattress",1499,4.8,2
1114,Essentia Mattress,Mattresses,Natural Talalay Latex,"Medium, Firm","Essentia, Natural Talalay Latex Mattress",2099,4.9,2
1115,Eco Terra Mattress,Mattresses,Natural Latex,"Medium, Firm","Eco Terra, Natural Latex Mattress",1399,4.8,2
1116,Plumen Mattress,Mattresses,Natural Latex,"Medium, Firm","Plumen, Natural Latex Mattress",1199,4.7,2
1117,Birch Natural Mattress,Mattresses,Natural Talalay Latex,"Medium, Firm","Birch, Natural Talalay Latex Mattress",1499,4.9,2
1118,The Zenhaven Mattress,Mattresses,Natural Latex,"Medium, Firm","Zenhaven, Natural Latex Mattress",2299,4.9,2
1119,Saatva Loom & Leaf Mattress,Mattresses,Hybrid,"Medium, Firm","Saatva, Loom & Leaf Mattress, Hybrid Mattress",2199,4.9,1
1120,The WinkBed EcoCloud Mattress,Mattresses,Hybrid,"Medium, Firm","WinkBed, EcoCloud Mattress, Hybrid Mattress",2099,4.9,1
1121,Dining table (IKEA),Furniture,Tables,"dining table, kitchen table","table, dining, kitchen, IKEA",500,4.5,1
1122,Coffee table (West Elm),Furniture,Tables,"coffee table, living room table","table, coffee, living room, West Elm",1000,4.7,1
1123,End table (Target),Furniture,Tables,"end table, nightstand","table, end, nightstand, Target",1500,4.8,1
1124,Desk (IKEA),Furniture,Tables,"desk, office desk, computer desk","table, desk, office, computer, IKEA",2000,4.9,1
1125,Folding table (Walmart),Furniture,Tables,"folding table, portable table, camp table","table, folding, portable, camp, Walmart",2500,4.9,1
1126,Picnic table (Home Depot),Furniture,Tables,"picnic table, outdoor table","table, picnic, outdoor, Home Depot",3000,4.9,1
1127,Console table (Anthropologie),Furniture,Tables,"console table, entryway table","table, console, entryway, Anthropologie",3500,4.9,1
1128,Coffee table made from recycled wood (Polywood),Furniture,Tables,"coffee table, living room table, recycled wood table","table, coffee, living room, recycled wood, Polywood",4000,4.9,2
1129,End table made from bamboo (SereneLife),Furniture,Tables,"end table, nightstand, bamboo table","table, end, nightstand, bamboo, SereneLife",4500,4.9,2
1130,Desk made from sustainable wood (Teak),Furniture,Tables,"desk, office desk, computer desk, sustainable wood table","table, desk, office, computer, sustainable wood, Teak",5000,4.9,2
1131,Folding table made from recycled materials (ReNew),Furniture,Tables,"folding table, portable table, camp table, recycled materials table","table, folding, portable, camp, recycled materials, ReNew",5500,4.9,2
1132,Picnic table made from sustainable bamboo (Bambu),Furniture,Tables,"picnic table, outdoor table, sustainable bamboo table","table, picnic, outdoor, sustainable bamboo, Bambu",6000,4.9,2
1133,Console table made from reclaimed wood (Rustic),Furniture,Tables,"console table, entryway table, reclaimed wood table","table, console, entryway, reclaimed wood, Rustic",6500,4.9,2
1134,Adjustable height table (IKEA),Furniture,Tables,"adjustable height table, standing desk","table, adjustable height, standing desk, IKEA",7000,4.9,1
1135,Nest of tables (West Elm),Furniture,Tables,"nest of tables, coffee table, end table","table, nest of tables, coffee table, end table, West Elm",7500,4.9,1
1136,Writing desk made from recycled materials (ReNew),Furniture,Tables,"writing desk, study table, recycled materials table","table, writing, study, recycled materials, ReNew",8000,4.9,2
1137,Laptop table made from bamboo (SereneLife),Furniture,Tables,"laptop table, bed tray, bamboo table","table, laptop, bed tray, bamboo, SereneLife",8500,4.9,2
1138,TV stand made from sustainable wood (Teak),Furniture,Tables,"TV stand, entertainment center, sustainable wood table","table, TV stand, entertainment center, sustainable wood, Teak",9000,4.9,2
1139,Nightstand made from reclaimed wood (Rustic),Furniture,Tables,"nightstand, end table, reclaimed wood table","table, nightstand, end table, reclaimed wood, Rustic",9500,4.9,2
1140,Coffee table with storage made from recycled materials (ReNew),Furniture,Tables,"coffee table with storage, storage table, recycled materials table","table, coffee table, storage table, recycled materials, ReNew",10000,4.9,2
1141,Handmade Moroccan Wool Rug The Rug Company,Rugs,Area Rugs,"Moroccan, Wool, Handmade","rug, area rug, moroccan rug, wool rug, handmade rug",29999,4.5,2
1142,Modern Shag Rug IKEA,Rugs,Area Rugs,"Shag, Modern","rug, area rug, shag rug, modern rug",19999,4.7,1
1143,Outdoor Rug Wayfair,Rugs,Outdoor Rugs,"Outdoor, Plastic","rug, outdoor rug, plastic rug",9999,4.3,1
1144,Vintage Persian Rug 1stDibs,Rugs,Area Rugs,"Persian, Vintage","rug, area rug, persian rug, vintage rug",49999,4.9,1
1145,Braided Jute Rug Pottery Barn,Rugs,Area Rugs,"Natural Fiber, Braided","rug, area rug, natural fiber rug, braided rug",14999,4.4,2
1146,Moroccan Trellis Rug West Elm,Rugs,Area Rugs,"Moroccan, Trellis","rug, area rug, moroccan rug, trellis rug",34999,4.6,1
1147,Contemporary Abstract Rug CB2,Rugs,Area Rugs,"Contemporary, Abstract","rug, area rug, contemporary rug, abstract rug",24999,4.8,0
1148,Geometric Rug Rugs USA,Rugs,Area Rugs,Geometric,"rug, area rug, geometric rug",39999,4.5,1
1149,Traditional Floral Rug Overstock,Rugs,Area Rugs,"Traditional, Floral","rug, area rug, traditional rug, floral rug",49999,4.9,0
1150,Kids Rug Ruggable,Rugs,Kids Rugs,"Playroom, Bedroom","rug, kids rug, playroom rug, bedroom rug",19999,4.7,2
1151,Kilim Rug Pottery Barn,Rugs,Area Rugs,"Kilim, Wool","rug, area rug, kilim rug, wool rug",39999,4.5,2
1152,Dhurrie Rug West Elm,Rugs,Area Rugs,"Dhurrie, Cotton","rug, area rug, dhurrie rug, cotton rug",19999,4.7,0
1153,Jute  Rug CB2,Rugs,Area Rugs,"Natural Fiber, Jute","rug, area rug, natural fiber rug, jute rug",24999,4.8,2
1154,Moroccan Pom Pom Rug Rugs USA,Rugs,Area Rugs,"Moroccan, Pom Pom","rug, area rug, moroccan rug, pom pom rug",14999,4.4,1
1155,Overstock Traditional Persian Rug,Rugs,Area Rugs,"Traditional, Persian","rug, area rug, traditional rug, persian rug",49999,4.9,0
1156,Ruggable Kids Playroom Rug,Rugs,Kids Rugs,"Playroom, Colorful","rug, kids rug, playroom rug, colorful rug",19999,4.7,2
1157,Wool Rug IKEA,Rugs,Area Rugs,Wool,"rug, area rug, wool rug",39999,4.5,1
1158,Cotton Rug Wayfair,Rugs,Area Rugs,Cotton,"rug, area rug, cotton rug",19999,4.7,0
1159,Synthetic Rug Overstock,Rugs,Area Rugs,Synthetic,"rug, area rug, synthetic rug",24999,4.8,1
1160,Outdoor Rug Ruggable,Rugs,Outdoor Rugs,"Outdoor, Durable","rug, outdoor rug, durable rug",14999,4.4,1
1161,iPhone SE (2023) (Apple),Mobile,Smartphone,"iPhone SE (2023), Apple smartphone, budget smartphone","smartphone, iPhone, Apple, budget",40000,4.7,0
1162,Pixel 6a (Google),Mobile,Smartphone,"Pixel 6a, Google smartphone, budget smartphone","smartphone, Pixel, Google, budget",40000,4.3,0
1163,Nord CE 3 (OnePlus),Mobile,Smartphone,"Nord CE 3, OnePlus smartphone, budget smartphone","smartphone, Nord, OnePlus, budget",40000,4.6,0
1164,Galaxy A23 5G (Samsung),Mobile,Smartphone,"Galaxy A23 5G, Samsung smartphone, budget smartphone","smartphone, Galaxy, Samsung, budget",40000,4.5,0
1165,Redmi 11 Prime 5G (Xiaomi),Mobile,Smartphone,"Redmi 11 Prime 5G, Xiaomi smartphone, budget smartphone","smartphone, Redmi, Xiaomi, budget",30000,4.2,1
1166,Realme 9i 5G (Realme),Mobile,Smartphone,"Realme 9i 5G, Realme smartphone, budget smartphone","smartphone, Realme, budget",30000,4.2,1
1167,Poco M4 Pro (Xiaomi),Mobile,Smartphone,"Poco M4 Pro, Xiaomi smartphone, budget smartphone","smartphone, Poco, Xiaomi, budget",30000,4.3,1
1168,Moto G71 5G (Motorola),Mobile,Smartphone,"Moto G71 5G, Motorola smartphone, budget smartphone","smartphone, Moto, Motorola, budget",30000,4.4,1
1169,Nokia G60 5G (Nokia),Mobile,Smartphone,"Nokia G60 5G, Nokia smartphone, budget smartphone","smartphone, Nokia, budget",30000,4.4,1
1170,Redmi 11 Note 5G (Xiaomi),Mobile,Smartphone,"Redmi 11 Note 5G, Xiaomi smartphone, mid-range smartphone","smartphone, Redmi, Xiaomi, mid-range",40000,4.1,1
1171,Realme 9 Pro+ 5G (Realme),Mobile,Smartphone,"Realme 9 Pro+ 5G, Realme smartphone, mid-range smartphone","smartphone, Realme, mid-range",40000,4.1,1
1172,Poco F4 GT (Xiaomi),Mobile,Smartphone,"Poco F4 GT, Xiaomi smartphone, mid-range smartphone","smartphone, Poco, Xiaomi, mid-range",40000,4.2,1
1173,Moto G82 5G (Motorola),Mobile,Smartphone,"Moto G82 5G, Motorola smartphone, mid-range smartphone","smartphone, Moto, Motorola, mid-range",40000,4.3,1
1174,Redmi Note 11 Pro+ 5G (Xiaomi),Mobile,Smartphone,"Redmi Note 11 Pro+ 5G, Xiaomi smartphone, mid-range smartphone","smartphone, Redmi, Xiaomi, mid-range",40000,4.4,1
